key,enabled,identity,password,username
user-account-assistant-01,true,"UserIdentity{name: 'Assistant', surname: '1', email: 'assistant1@hotmail.com'}",assistant1,assistant1
user-account-assistant-02,true,"UserIdentity{name: 'Assistant', surname: '2', email: 'assistant2@gmail.com'}",assistant2,assistant2
user-account-assistant-03,true,"UserIdentity{name: 'Assistant', surname: '3', email: 'assistant3@gmail.com'}",assistant3,assistant3
user-account-assistant-04,true,"UserIdentity{name: 'Assistant', surname: '4', email: 'assistant4@gmail.com'}",assistant4,assistant4
user-account-assistant-05,true,"UserIdentity{name: 'Assistant', surname: '5', email: 'assistant5@gmail.com'}",assistant5,assistant5
user-account-assistant-06,true,"UserIdentity{name: 'Assistant', surname: '6', email: 'assistant6@gmail.com'}",assistant6,assistant6
user-account-assistant-07,true,"UserIdentity{name: 'Assistant', surname: '7', email: 'assistant7@gmail.com'}",assistant7,assistant7
user-account-assistant-08,true,"UserIdentity{name: 'Assistant', surname: '8', email: 'assistant8@gmail.com'}",assistant8,assistant8
user-account-assistant-09,true,"UserIdentity{name: 'Assistant', surname: '9', email: 'assistant9@gmail.com'}",assistant9,assistant9
user-account-assistant-10,true,"UserIdentity{name: 'Assistant', surname: '10', email: 'assistant10@gmail.com'}",assistant10,assistant10
user-account-assistant-11,true,"UserIdentity{name: 'Assistant', surname: '11', email: 'assistant11@gmail.com'}",assistant11,assistant11
user-account-assistant-12,true,"UserIdentity{name: 'Assistant', surname: '12', email: 'assistant12@gmail.com'}",assistant12,assistant12
user-account-assistant-13,true,"UserIdentity{name: 'Assistant', surname: '13', email: 'assistant13@gmail.com'}",assistant13,assistant13
user-account-assistant-14,true,"UserIdentity{name: 'Assistant', surname: '14', email: 'assistant14@gmail.com'}",assistant14,assistant14
user-account-assistant-15,true,"UserIdentity{name: 'Assistant', surname: '15', email: 'assistant15@gmail.com'}",assistant15,assistant15
user-account-assistant-16,true,"UserIdentity{name: 'Assistant', surname: '16', email: 'assistant16@gmail.com'}",assistant16,assistant16
user-account-assistant-17,true,"UserIdentity{name: 'Assistant', surname: '17', email: 'assistant17@gmail.com'}",assistant17,assistant17
user-account-assistant-18,true,"UserIdentity{name: 'Assistant', surname: '18', email: 'assistant18@gmail.com'}",assistant18,assistant18
user-account-assistant-19,true,"UserIdentity{name: 'Assistant', surname: '19', email: 'assistant19@gmail.com'}",assistant19,assistant19
user-account-assistant-20,true,"UserIdentity{name: 'Assistant', surname: '20', email: 'assistant20@gmail.com'}",assistant20,assistant20
user-account-assistant-21,true,"UserIdentity{name: 'Assistant', surname: '21', email: 'assistant21@gmail.com'}",assistant21,assistant21
user-account-assistant-22,true,"UserIdentity{name: 'Assistant', surname: '22', email: 'assistant22@gmail.com'}",assistant22,assistant22
user-account-assistant-23,true,"UserIdentity{name: 'Assistant', surname: '23', email: 'assistant23@gmail.com'}",assistant23,assistant23
user-account-assistant-24,true,"UserIdentity{name: 'Assistant', surname: '24', email: 'assistant24@gmail.com'}",assistant24,assistant24
user-account-auditor-01,true,"UserIdentity{name: 'Jorge', surname: 'Salvaje', email: 'jordi.wild@gmail.com'}",auditor1,auditor1
user-account-auditor-02,true,"UserIdentity{name: 'Gary', surname: 'Llaneza', email: 'gary.llaneza@gmail.com'}",auditor2,auditor2
user-account-auditor-03,true,"UserIdentity{name: 'Paco', surname: 'Jemez', email: 'paco.jemez@gmail.com'}",auditor3,auditor3
user-account-company-01,true,"UserIdentity{name: 'Company', surname: '1', email: 'company1@gmail.com'}",company1,company1
user-account-company-02,true,"UserIdentity{name: 'Company', surname: '2', email: 'company2@gmail.com'}",company2,company2
user-account-company-03,true,"UserIdentity{name: 'Company', surname: '3', email: 'company3@gmail.com'}",company3,company3
user-account-company-04,true,"UserIdentity{name: 'Company', surname: '4', email: 'company4@gmail.com'}",company4,company4
user-account-student-01,true,"UserIdentity{name: 'Student', surname: '1', email: 'student1@gmail.com'}",student1,student1
user-account-student-02,true,"UserIdentity{name: 'Student', surname: '2', email: 'student2@gmail.com'}",student2,student2
user-account-lecturer-01,true,"UserIdentity{name: 'Lecturer1', surname: 'Boe', email: 'lecturer01@acme.com'}",lecturer1,lecturer1
user-account-lecturer-02,true,"UserIdentity{name: 'Lecturer2', surname: 'Gea', email: 'lecturer02@acme.com'}",lecturer2,lecturer2
user-account-administrator-02,true,"UserIdentity{name: 'Admin', surname: '1', email: 'admin1@gmail.com'}",administrator1,administrator1
user-account-administrator-03,true,"UserIdentity{name: 'Admin', surname: '2', email: 'admin2@gmail.com'}",administrator2,administrator2
